Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time	Loss
136	2046.9747	0.0	2046.9747	2046.9747	1993.8643	62.560448	2109.6628	1874.9534	1000.0	1000.0	135999	831.373957157135	2.2499874
137	2052.9395	0.0	2052.9395	2052.9395	2051.5332	92.99439	2224.8015	1909.4143	1000.0	1000.0	136999	837.7948379516602	2.26798
138	2035.1562	0.0	2035.1562	2035.1562	2009.9926	55.265675	2105.8914	1886.1249	1000.0	1000.0	137999	844.1436932086945	2.1998427
139	2179.0098	0.0	2179.0098	2179.0098	2083.0242	76.948044	2208.671	2000.874	1000.0	1000.0	138999	850.5128161907196	2.2985737
140	2101.8438	0.0	2101.8438	2101.8438	2151.5127	114.979385	2333.133	1944.5884	1000.0	1000.0	139999	856.8683929443359	2.2930865
141	2134.8743	0.0	2134.8743	2134.8743	1981.915	71.11	2108.023	1876.5264	1000.0	1000.0	140999	863.1988632678986	2.2958713
142	1892.6403	0.0	1892.6403	1892.6403	2046.8777	62.128662	2149.153	1913.352	1000.0	1000.0	141999	869.4705002307892	2.3349478
143	2076.78	0.0	2076.78	2076.78	1999.0104	80.622505	2136.17	1894.4595	1000.0	1000.0	142999	875.6718661785126	2.2903945
144	2090.8271	0.0	2090.8271	2090.8271	2060.9148	57.02608	2161.2688	1985.0317	1000.0	1000.0	143999	881.8656041622162	2.3629975
145	2146.186	0.0	2146.186	2146.186	2096.101	82.843994	2219.8433	1968.5488	1000.0	1000.0	144999	888.0531220436096	2.3322065
146	2148.5122	0.0	2148.5122	2148.5122	2166.6047	112.97972	2378.2927	1984.0208	1000.0	1000.0	145999	894.2672200202942	2.3512006
147	2090.069	0.0	2090.069	2090.069	2155.7725	94.44534	2304.1748	1976.675	1000.0	1000.0	146999	900.4776051044464	2.3569903
148	2087.372	0.0	2087.372	2087.372	2099.0452	135.01273	2304.3835	1880.2898	1000.0	1000.0	147999	906.7383589744568	2.311209
149	2035.8405	0.0	2035.8405	2035.8405	2115.1885	99.30878	2221.8108	1953.0869	1000.0	1000.0	148999	912.908607006073	2.4569795
150	2130.0723	0.0	2130.0723	2130.0723	2160.5715	74.59949	2284.747	2002.2356	1000.0	1000.0	149999	919.2435970306396	2.3705285
151	2090.7222	0.0	2090.7222	2090.7222	2216.9126	89.954	2356.239	2067.5386	1000.0	1000.0	150999	925.6091070175171	2.3743613
152	2150.3735	0.0	2150.3735	2150.3735	2304.7986	95.89652	2474.1677	2194.9185	1000.0	1000.0	151999	931.9408819675446	2.333976
153	2294.3318	0.0	2294.3318	2294.3318	2269.5947	103.614944	2392.1946	2054.0457	1000.0	1000.0	152999	938.3442721366882	2.4913886
154	2104.1333	0.0	2104.1333	2104.1333	2130.1013	84.500046	2255.3342	1965.2819	1000.0	1000.0	153999	944.656368970871	2.4336982
155	2211.6333	0.0	2211.6333	2211.6333	2161.132	68.97492	2303.355	2041.121	1000.0	1000.0	154999	950.9512431621552	2.5348127
156	2073.965	0.0	2073.965	2073.965	2077.5967	377.60806	2310.994	965.6442	1000.0	1000.0	155999	957.1707060337067	2.5352218
157	1941.0266	0.0	1941.0266	1941.0266	2130.845	69.6947	2248.1155	2005.634	1000.0	1000.0	156999	963.3677172660828	2.5900996
158	2110.809	0.0	2110.809	2110.809	2104.1448	57.727528	2183.6926	2013.8234	1000.0	1000.0	157999	969.6307461261749	2.5799274
159	2061.023	0.0	2061.023	2061.023	2098.3357	87.72534	2207.561	1944.6951	1000.0	1000.0	158999	975.8021702766418	2.5785797
160	2091.1863	0.0	2091.1863	2091.1863	2160.6443	55.702286	2264.894	2079.1626	1000.0	1000.0	159999	981.9933819770813	2.5628948
161	2251.9004	0.0	2251.9004	2251.9004	2230.8953	113.026184	2367.2905	2055.3035	1000.0	1000.0	160999	988.1839401721954	2.5620522
162	2250.138	0.0	2250.138	2250.138	2124.828	276.01404	2314.5935	1314.3347	1000.0	1000.0	161999	994.3417611122131	2.4889998
163	2269.0483	0.0	2269.0483	2269.0483	2206.2124	50.998337	2308.7175	2132.662	1000.0	1000.0	162999	1000.5250940322876	2.604324
164	2296.764	0.0	2296.764	2296.764	2143.263	116.2832	2329.3955	1977.0475	1000.0	1000.0	163999	1006.7682611942291	2.582936
165	2060.758	0.0	2060.758	2060.758	2283.2612	49.860985	2376.213	2213.511	1000.0	1000.0	164999	1013.0401179790497	2.4542396
166	2175.1182	0.0	2175.1182	2175.1182	2326.1125	70.810165	2491.2334	2202.1294	1000.0	1000.0	165999	1019.2364249229431	2.5496955
167	2163.5708	0.0	2163.5708	2163.5708	2190.1113	68.4	2289.7651	2069.4895	1000.0	1000.0	166999	1025.405412197113	2.5185142
168	2302.918	0.0	2302.918	2302.918	2460.8103	85.1211	2643.5242	2308.074	1000.0	1000.0	167999	1031.6202812194824	2.593211
169	2294.1118	0.0	2294.1118	2294.1118	2363.5059	69.18313	2462.824	2213.3242	1000.0	1000.0	168999	1037.7817170619965	2.518524
170	2299.79	0.0	2299.79	2299.79	2448.4878	73.760345	2597.654	2342.0483	1000.0	1000.0	169999	1044.0668880939484	2.5408018
171	2280.7305	0.0	2280.7305	2280.7305	2225.0708	106.124405	2415.2766	2046.6556	1000.0	1000.0	170999	1050.4545300006866	2.4947338
172	2570.4072	0.0	2570.4072	2570.4072	2349.7893	84.903305	2509.5369	2208.8567	1000.0	1000.0	171999	1056.7771940231323	2.597016
173	2354.8425	0.0	2354.8425	2354.8425	2279.1333	61.558968	2368.128	2138.507	1000.0	1000.0	172999	1063.1036500930786	2.6015568
174	2462.0156	0.0	2462.0156	2462.0156	2411.677	43.589325	2480.4272	2357.4875	1000.0	1000.0	173999	1069.4184651374817	2.6695683
175	2354.365	0.0	2354.365	2354.365	2224.2239	633.684	2591.355	356.21326	1000.0	1000.0	174999	1075.790330171585	2.5742328
176	2416.7146	0.0	2416.7146	2416.7146	2454.2368	36.102806	2517.0593	2408.9924	1000.0	1000.0	175999	1082.1158299446106	2.6673725
177	2426.7969	0.0	2426.7969	2426.7969	2449.5408	78.8186	2585.3984	2259.448	1000.0	1000.0	176999	1088.425124168396	2.611544
178	2429.9885	0.0	2429.9885	2429.9885	2370.2927	65.297226	2470.0745	2235.0073	1000.0	1000.0	177999	1094.7354090213776	2.5951405
179	2481.3965	0.0	2481.3965	2481.3965	2514.4133	51.102016	2609.2087	2431.8647	1000.0	1000.0	178999	1101.040631055832	2.673231
180	2514.3923	0.0	2514.3923	2514.3923	2432.4038	63.497192	2512.0088	2291.4553	1000.0	1000.0	179999	1107.4438269138336	2.6777205
181	2454.8018	0.0	2454.8018	2454.8018	2501.6296	83.45232	2649.6665	2347.479	1000.0	1000.0	180999	1113.7479429244995	2.6362886
182	2518.3801	0.0	2518.3801	2518.3801	2352.1309	71.010086	2471.5764	2272.7524	1000.0	1000.0	181999	1120.0506019592285	2.7363994
